name;analogue;classes
Alfresco;1C:Документооборот КОРП (258)|1С-Битрикс24 (25)|1С:КОРПОРАЦИЯ (undefined)|CompanyMedia (871)|Docsvision (36)|Jmix RAD платформа (12044)|Naumen Service Management Platform (5263)|Pilot-ECM (4687)|Pyrus (4857)|RunaWFE (951)|TDMS Фарватер (5374)|Автоматизированная система управления Жилищный стандарт (5489)|«АРХИВНОЕ ДЕЛО» (243)|АТАЧ (11849)|Логика ПЛАТФОРМА (7076)|МСВСфера Инфооборот (5657)|СБИС (332)|Система управления данными Галактика ECM.CORP (5934)|Система управления документами и задачами ТЕЗИС (271)|Система «ЭОС Платформа» (12919)|Спутник (Sputnik) (3486)|ЭЛАР Контекст (12298);Системы документооборота (СЭД), ECM-системы|ПО для работы с документами и текстами|Корпоративные порталы и средства их создания|MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Системы организации групповой работы|Для организации удалённой работы|Системы управления бизнес-процессами|Средства разработки|Программные платформы|Средства прикладной разработки NoCode/LowCode|Колл-центры|Service Desk|CAD/ECAD/CAM/CAE-системы|Строительство|ПО для промышленности|BIM|CRM-системы|Обучающее ПО|Отечественное ПО, бесплатное для образовательных организаций|Управление корпоративными данными (Data Governance)|Системы управления проектами|Управление ЖКХ|Биллинг ЖКХ|Системы полнотекстового поиска|Конструкторы/генераторы документов|Системы оптического распознавания текстов|Органы власти
AlgoSec;InfoWatch ARMA Management Console (undefined);Системы для обеспечения безопасности|АСУТП|Системы управления средствами ИБ
Alient Vault;ViPNet IDS HS (3441);Средства мониторинга сетевого трафика и событий
AlienVault OSSIM;Kaspersky Unified Monitoring and Analysis Platform (9128)|Security Capsule SIEM (1139)|СерчИнформ SIEM (4711);SIEM, CLM, аналитика в области ИБ|Средства мониторинга сетевого трафика и событий|Средства управления ИТ-инфраструктурой
Allot;EcoDPIOS-LB (undefined);Коммуникационное ПО
Allot NetworkSecure;Система глубокого анализа и применения политик для управления пакетным трафиком PROTEI_DPI (3672);Телекоммуникации|Сетевое оборудование
Alloy Navigator;Итилиум (1247);Средства управления ИТ-инфраструктурой|Service Desk
Allplan;nanoCAD BIM Конструкции (11178)|Renga (BIM-система) (7810);CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|BIM
Alpega TMS;ГИС ОПТИМУМ (1800)|МАППА-Монитор логиста (12955)|ЯКурьер TMS (undefined);Геоинформационные системы (ГИС)|Системы мониторинга и управления транспортом|Транспорт|Склады, логистика
ALTAIR Inspire Cast;Система компьютерного моделирования литейных процессов "ПолигонСофт" (3378);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
Alteryx;Система интеллектуального анализа данных PolyAnalyst (4414)|Триафлай (2965)|Форсайт. Аналитическая платформа (5307);Аналитические системы (BI)|Системы мониторинга и управления
Altium Designer;Delta Design Professional (11907)|Delta Design Simulator (13820)|Delta Design Standard (11906);CAD/ECAD/CAM/CAE-системы
ALtium Vault;Delta Design Enterprise Server (13273);CAD/ECAD/CAM/CAE-системы|Средства синхронизации и репликации БД
Amazon Alexa;Naumen CX (12797)|Naumen Erudite (6283)|TWIN (11009)|Умный дом DREHOME&TV (10443);Колл-центры|Instant Messaging|Лингвистическое ПО|Умный дом
Amazon FreeRTOS;Операционная система реального времени FX-RTOS (12693);Встроенные ОС
Amdocs;Bercut, Конвергентная биллинговая система IN@Voice для монетизации бизнеса и развития цифровых экосистем (3060)|Nexign Revenue Management (undefined)|АСР Forward (Форвард) (4799);Телекоммуникации|Биллинговые системы|Биллинг ЖКХ|Программные платформы
Amdocs Charging;Система контроля баланса и тарификации в режиме реального времени Nexign Online Charging System (14100);Телекоммуникации|Биллинговые системы
Amdocs Mediation;Nexign Mediation (undefined);Телекоммуникации
Amesim;ПРАДИС - Программа анализа динамических систем (PRADIS) (13920)|Среда динамического моделирования технических систем SimInTech (2379);Моделирование технических систем и объектов
Ammyy Admin;АССИСТЕНТ. Система удаленного мониторинга и управления. (3173);Системы организации групповой работы|Безопасный удаленный доступ|Для организации удалённой работы
AMOS Maintenance and Procurement;1С:ТОИР Управление ремонтами и обслуживанием оборудования (638)|TechnologiCS (846)|Система сбора данных и моделирования жизненного цикла изделия КАСКАД (2890);Системы управления бизнес-процессами|EAM-системы (управление активами предприятия)|Управление ТОиР|PLM - системы (Product Lifecycle Management)|IIoT (промышленный интернет вещей)|MES|PDM - системы (Product Data Management)
Ampla;Zyfra Industrial Automation Kit (undefined);Системы мониторинга и управления|MES
Analog Devices LTspice;Delta Design Simulator (13820);CAD/ECAD/CAM/CAE-системы
Analog Devices VDX;Операционная система реального времени FX-RTOS (12693);Встроенные ОС
Anaplan;1С:ERP. Управление холдингом (553)|CUBIX Business Modeler (CUBIX BM) (4208)|Knowledge Space (13092)|OkoCRM (undefined)|Pyrus (4857)|СРМ-платформа «Контур»: Бюджет хозяйственных расходов (3748)|ТУРБО БЮДЖЕТИРОВАНИЕ (12589)|Форсайт. Бюджетирование (5309);MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Нереляционные СУБД|Аналитические системы (BI)|Корпоративные порталы и средства их создания|ETL-системы|ПО для функциональных сотрудников/подразделений|Системы управления бизнес-процессами|Системы мониторинга и управления|Средства прикладной разработки NoCode/LowCode|Базы знаний|CRM-системы|Системы управления задачами|Системы управления проектами|Системы организации групповой работы|Service Desk|Банки и финансы
Android;Мобильная операционная система Аврора (1543);Мобильные ОС
Android TV;StingrayTV (undefined);Встроенные ОС|Телевидение, радиовещание
ANSYS CFX;FlowVision - вычислительная аэро-гидродинамика и многодисциплинарное моделирование (2504);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
ANSYS Fluent;APM FGA Анализ течения жидкостей и газов (9184)|FlowVision - вычислительная аэро-гидродинамика и многодисциплинарное моделирование (2504);CAD/ECAD/CAM/CAE-системы|Образование|Моделирование технических систем и объектов
ANSYS Mechanical;APM StructFEM (3090)|APM WinMachine (2575);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов|Образование
Ansys Motion;Программный комплекс автоматизированного динамического анализа многокомпонентных механических систем EULER (280);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
ANSYS optiSlang;pSeven (5707);ПО для промышленности
ANSYS Rigid Body Dynamics;Программный комплекс автоматизированного динамического анализа многокомпонентных механических систем EULER (280);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
AnyDesk;АССИСТЕНТ. Система удаленного мониторинга и управления. (3173);Системы организации групповой работы|Безопасный удаленный доступ|Для организации удалённой работы
Anylogic;BFG Simulation (5089);ПО для промышленности|Моделирование технических систем и объектов
AnyVision Better Tomorrow Platform;Визирь. Программный комплекс системы видеоидентификации. (1989);Системы видеонаблюдения|Умный город|Транспорт|Системы управления доступом (СКУД)
Apache Cordova;Rhomobile (undefined);Средства разработки|Программные платформы
Appian;Knowledge Space (13092);ПО для функциональных сотрудников/подразделений|Системы управления бизнес-процессами|Системы мониторинга и управления|Средства прикладной разработки NoCode/LowCode|Базы знаний
Apple ASR/TTS;Naumen CX (12797)|Naumen Erudite (6283);Колл-центры|Instant Messaging|Лингвистическое ПО
Apple FairPlay DRM;DRM DREPLUS (6913)|IPTVPORTAL CAS (709);Телекоммуникации
Apple HomeKit;Умный дом DREHOME&TV (10443);Умный дом
Apple Remote Desktop;АССИСТЕНТ. Система удаленного мониторинга и управления. (3173);Системы организации групповой работы|Безопасный удаленный доступ|Для организации удалённой работы
Apple Siri;Naumen CX (12797)|Naumen Erudite (6283)|Омниканальная диалоговая платформа на естественном языке ChatNavigator (4837);Колл-центры|Instant Messaging|Лингвистическое ПО|Банки и финансы|Госуслуги
AppWork;Межкорпоративная сеть для развития проектной кооперации между компаниями в сфере ИТ-услуг “B2BCloud” (14503);ПО для HR и кадровых служб|Системы управления проектами
Arbor Networks;EcoDPIOS-LB (undefined);Коммуникационное ПО
ArcGIS;AirLay (8618)|nanoCAD GeoniCS (11278)|ZuluGIS (2354)|ZuluServer (13078)|Геоинформационная платформа «Атлас» (5212)|Геоинформационная система «ГИС-АБП 1.0» (6430)|ГИС Аксиома (2174)|Платформа nanoCAD (доп. модуль «Топоплан») (undefined)|Цифровая платформа «Управление в пространстве» (7516);Геоинформационные системы (ГИС)|CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|Аналитические системы (BI)|Умный город|Управление ЖКХ|Транспорт
ArchiCAD;Model Studio CS Строительные решения (1048)|Renga (BIM-система) (7810);Обучающее ПО|CAD/ECAD/CAM/CAE-системы|Строительство|ПО для промышленности|BIM|Моделирование технических систем и объектов
ArcSight Logger;Alertix (10868)|DataGrain ESO (undefined)|Kaspersky Unified Monitoring and Analysis Platform (9128);SIEM, CLM, аналитика в области ИБ
ArcSight SIEM;Alertix (10868)|DataGrain ESO (undefined)|Kaspersky Unified Monitoring and Analysis Platform (9128)|Security Capsule SIEM (1139)|ViPNet TIAS (3603)|СерчИнформ SIEM (4711);SIEM, CLM, аналитика в области ИБ|Средства мониторинга сетевого трафика и событий|ПО для обеспечения ИБ|Средства управления ИТ-инфраструктурой
ARDVARC;ZR RoboTruck, ZR RoboDrill (undefined);Системы для обеспечения безопасности|Добывающая промышленность|ПО для робототехники|ПО для автономного транспорта
Ares Prism;1С:ERP. Управление холдингом (553)|Галактика ERP (276)|Система управления капитальными вложениями инвестиционно-строительных проектов («PM.customer») v. 6.0 (9421);MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Системы управления бизнес-процессами|Строительство
ARM Mbed OS (Keil RTX);Операционная система реального времени FX-RTOS (12693);Встроенные ОС
ARPM;Массовый и энергетический баланс / Zyfra Mass & Energy Balance (10978)|Система сведения материального баланса I-DRMS (InduSoft Data Reconciliation Management System) (2069);Моделирование технических систем и объектов|AMM-системы (управление промышленным производством)
ArtCAM;CAD/CAM-система ГеММа-3D (5551)|SprutCAM (1435);CAD/ECAD/CAM/CAE-системы
Aruba ClearPass;Платформа управления, мониторинга, аналитики и авторизации Wi-Fi сетей Wimark One (13303);Системы мониторинга и управления|Системы мониторинга и управления сетей и средств связи|Телекоммуникации|Средства управления ИТ-инфраструктурой|Средства мониторинга сетевого трафика и событий
Asana;1С-Битрикс24 (25)|ADVANTA (Адванта) – А2: Управление проектами (279)|CRM Мегаплан (1941)|Devprom ALM (1188)|IconTeam (undefined)|Manage.one (8563)|Naumen Project Ruler (undefined)|Naumen Service Management Platform (5263)|OkoCRM (undefined)|Pyrus (4857);Корпоративные порталы и средства их создания|Системы управления проектами|Системы управления задачами|Системы организации групповой работы|Системы управления бизнес-процессами|Программные платформы|Для организации удалённой работы|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства управления тестированием ПО|Моделирование технических систем и объектов|Бухгалтерия, финансы и отчетность|Управление финансами|CRM-системы|Системы управления закупками|Service Desk|Колл-центры
Aspen HYSYS;ИНФОПРО: Планирование режимов (2960)|МиР ПиА Процесс + (16006);Энергетика|MES|CAD/ECAD/CAM/CAE-системы
Aspen InfoPlus;Zyfra IIOT Platform / Платформа промышленного интернета вещей (5724)|Система диспетчеризации I-DS (InduSoft Dispatching System) (1967);IIoT (промышленный интернет вещей)|MES
AspenONE MES;LEAD MES (undefined)|Zyfra Industrial Automation Kit (undefined);Системы управления бизнес-процессами|Пищевая промышленность|MES|Системы мониторинга и управления
AspenONE® Supply Chain Management;B2B Altis (продукт проходит регистрацию )|Naumen GPMS (1404)|Naumen Электронная Торговая Площадка (1405)|Zyfra Reconciled Shipment Planning (undefined)|ЛотЭксперт (12722);Системы управления поставщиками (SRM), цепочками поставок (SCM)|Системы управления закупками|Электронные торговые площадки (ЭТП)|Добывающая промышленность|Склады, логистика
Aspen Petroleum Scheduler;I-DS/PS Цифровой сервис / Календарное планирование (12373)|Zyfra Plant Production Planning (undefined);MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|AMM-системы (управление промышленным производством)
Aspen PIMS;I-DS/PS Цифровой сервис / Календарное планирование (12373)|Zyfra Plant Production Planning (undefined)|Система сведения материального баланса I-DRMS (InduSoft Data Reconciliation Management System) (2069)|Цифровые сервисы планирования и диспетчеризации производства / Zyfra Production Scheduling (10979);MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|AMM-системы (управление промышленным производством)|Моделирование технических систем и объектов
Aspen Production Record Manager;Массовый и энергетический баланс / Zyfra Mass & Energy Balance (10978)|Система сведения материального баланса I-DRMS (InduSoft Data Reconciliation Management System) (2069);Моделирование технических систем и объектов|AMM-системы (управление промышленным производством)
AspenTech;МиР ПиА Процесс + (16006);CAD/ECAD/CAM/CAE-системы
Aspen Unified PIMS;I-DS/PS Цифровой сервис / Календарное планирование (12373)|Zyfra Plant Production Planning (undefined)|Система сведения материального баланса I-DRMS (InduSoft Data Reconciliation Management System) (2069)|Цифровые сервисы планирования и диспетчеризации производства / Zyfra Production Scheduling (10979);MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|AMM-системы (управление промышленным производством)|Моделирование технических систем и объектов
Aspen Utilities;Массовый и энергетический баланс / Zyfra Mass & Energy Balance (10978)|Система учёта энергоресурсов I-EMS (InduSoft Energy Management System) (2306);Моделирование технических систем и объектов|Автоматизированные системы контроля и учета энергоресурсов (АСКУЭ)
Asterisk.IVR;Call-центр / IP АТС Infinity (13330)|Naumen CX (12797)|Naumen Erudite (6283)|Омниканальная диалоговая платформа на естественном языке ChatNavigator (4837);Телефония|Колл-центры|Instant Messaging|Лингвистическое ПО|Банки и финансы|Госуслуги
Ataccama Data Catalog;Система по управлению данными RT.DataGovernance (6751);Управление корпоративными данными (Data Governance)
Ataccama MDM;1С:ERP. Управление холдингом (553)|Единый клиент (6464)|Информационная система ИС RT.MDM (11687)|ПОЛИНОМ:MDM Материалы и Сортаменты (5751)|ПОЛИНОМ:MDM Справочник Технолога (5640)|ПОЛИНОМ:MDM Стандартные Изделия: Детали, узлы и конструктивные элементы 2D и 3D (5641)|ПОЛИНОМ:MDM Стандартные Изделия: Крепеж 2D и 3D (8311)|Система управления нормативно-справочной информацией «Semantic MDM» (507)|Справочник Стандартные Изделия: Крепеж 2D и 3D (1323);MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Аналитические системы (BI)|Телекоммуникации|CRM-системы|Банки и финансы|СУБД и средства работы с данными|CAD/ECAD/CAM/CAE-системы|ПО для промышленности
Ataccama ONE;1С:ERP. Управление холдингом (553)|Единый клиент (6464)|Юнидата Data Governance (Unidata Data Governance) (8759);MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Аналитические системы (BI)|Телекоммуникации|CRM-системы|Банки и финансы|Управление корпоративными данными (Data Governance)
Ataccama ONE MDM;1С:ERP. Управление холдингом (553)|1С:MDM Управление нормативно-справочной информацией (672)|Единый клиент (6464)|Юнидата Управление Мастер Данными, Высоконагруженная Редакция (Unidata MDM HPE) (11693)|Юнидата Управление Мастер Данными, Стандартная Редакция (Unidata MDM SE) (11696);MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Системы управления бизнес-процессами|Аналитические системы (BI)|Телекоммуникации|CRM-системы|Банки и финансы
Atlassian Confluence;1С-Битрикс24 (25)|Devprom ALM (1188)|L2U InKnowledge (11598)|Manage.one (8563)|Minerva Knowledge – Система управления знаниями для среднего и крупного бизнеса (база знаний и wiki) (9095)|Naumen KMS (undefined)|Naumen Service Desk (196)|Naumen Service Management Platform (5263)|Pyrus (4857)|Test IT (6125)|База знаний CraftTalk KMS (5035)|Документерра (undefined)|Плюс7 МаяК (14349)|ХайХаб (14960);Корпоративные порталы и средства их создания|Системы организации групповой работы|Системы управления бизнес-процессами|Программные платформы|Для организации удалённой работы|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства управления тестированием ПО|Моделирование технических систем и объектов|Базы знаний|Бухгалтерия, финансы и отчетность|Управление финансами|CRM-системы|Системы управления закупками|Service Desk|Системы полнотекстового поиска|Колл-центры|ПО для HR и кадровых служб
Atlassian Jira;1С-Битрикс24 (25)|ADVANTA (Адванта) – А2: Управление проектами (279)|Comindware Business Application Platform (2275)|CRM Мегаплан (1941)|Devprom ALM (1188)|IconTeam (undefined)|ITSM-система ИнфраМенеджер (2595)|Manage.one (8563)|Naumen Project Ruler (undefined)|Naumen Service Desk (196)|Naumen Service Management Platform (5263)|Nexign Backlog and Capacity (undefined)|OkoCRM (undefined)|Pyrus (4857)|SimpleOne ITSM (undefined)|tada.team (9475)|Test IT (6125)|Бипиум (3455)|Платформа для автоматизации бизнес-процессов SimpleOne (6870)|Платформа Окдеск (12600)|ПМ Форсайт (278)|СБИС (332)|СБИС Бизнес-процессы (undefined)|ТУРБО X (6180);Корпоративные порталы и средства их создания|Системы управления проектами|Системы управления бизнес-процессами|Программные платформы|Средства прикладной разработки NoCode/LowCode|Системы управления задачами|Системы организации групповой работы|Для организации удалённой работы|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства управления тестированием ПО|Моделирование технических систем и объектов|Бухгалтерия, финансы и отчетность|Управление финансами|CRM-системы|Системы управления закупками|Service Desk|Колл-центры|Системы видеосвязи (ВКС)|Instant Messaging|Телефония|Управление ТОиР|Органы власти|ERP-системы|Средства разработки
Atlassian Trello;1С-Битрикс24 (25)|CRM Мегаплан (1941)|IconTeam (undefined)|Manage.one (8563)|Naumen Project Ruler (undefined)|Naumen Service Management Platform (5263)|NS Project (undefined)|OkoCRM (undefined)|Pyrus (4857)|tada.team (9475)|Дистанционный офис (7097)|Система Directum (4499);Корпоративные порталы и средства их создания|Системы управления задачами|Системы управления проектами|Бухгалтерия, финансы и отчетность|Управление финансами|CRM-системы|Системы управления закупками|Service Desk|Колл-центры|Системы документооборота (СЭД), ECM-системы|CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|Системы организации групповой работы|Системы управления бизнес-процессами|Системы видеосвязи (ВКС)|Instant Messaging|Телефония|Для организации удалённой работы
Atos Smart Grid Suite;ИНФОПРО: Управление транспортом электрической энергии (4256);Системы мониторинга и управление энергосетей|Энергетика
Atos Unify;TrueConf Server (78)|Комбинированная телефонная станция «Svetets CSS» (12057);Системы видеосвязи (ВКС)|Для организации удалённой работы|Телекоммуникации|Instant Messaging|Телефония
Atos/Unify OpenScape 4000;Программный комплекс Протей-imSwitch (3361);Телекоммуникации|Сетевое оборудование
AtroPIM;Еком-платформа Ensi (13451);Торговля|Корпоративные порталы и средства их создания|Управление Web-сайтами
Attivio;Content AI Intelligent Search (214);ПО для функциональных сотрудников/подразделений|Органы власти|Телекоммуникации|Энергетика|Банки и финансы|Системы полнотекстового поиска
AT&T Smart Cities Operations;ПК ЕЦОР (12002);Телекоммуникации|Сетевое оборудование
Aucerna;Knowledge Space (13092);ПО для функциональных сотрудников/подразделений|Системы управления бизнес-процессами|Системы мониторинга и управления|Средства прикладной разработки NoCode/LowCode|Базы знаний
Audiocodes Mediant;SI3000 BGW Пограничный шлюз BGW 3.0 (5979);Телекоммуникации|Защищенный сетевой шлюз|Телефония
Audiocodes Mediant SBC;СПО «ПРОТЕЙ-SBC» (12507);Телекоммуникации|Сетевое оборудование
AutoCAD;Архитектура: АС/АР (3100)|ГИС Аксиома (2174)|Железобетонные конструкции: КЖ (3099)|КОМПАС-3D (697)|КОМПАС-График (698)|КОМПАС-Строитель (2821)|Металлоконструкции: КМ (701)|Платформа nanoCAD (8814)|Технология: ТХ (708);CAD/ECAD/CAM/CAE-системы|Строительство|ПО для промышленности|BIM|Геоинформационные системы (ГИС)|Моделирование технических систем и объектов
